Begin IP Address;End IP Address;Total Count
201.234.145.200;201.234.145.223;24
200.47.81.0;200.47.171.255;23,296
186.64.36.3;186.64.36.24;22
200.63.108.0;200.63.191.255;21,504
200.61.0.0;200.61.82.63;21,056
195.22.220.20;195.22.220.40;21
200.3.32.0;200.3.113.255;20,992
200.80.154.56;200.80.235.95;20,776
201.251.112.64;201.251.192.255;20,672
186.182.0.0;186.182.80.159;20,64
181.118.64.0;181.118.143.255;20,48
186.96.128.0;186.96.207.255;20,48
186.190.128.0;186.190.207.255;20,48
200.47.0.0;200.47.79.255;20,48
195.22.220.236;195.22.220.255;20
201.234.144.192;201.234.144.211;20
200.31.224.0;200.32.44.255;19,712
186.153.179.40;186.153.255.255;19,672
191.102.244.0;191.103.63.255;19,456
186.56.0.0;186.56.74.255;19,2
201.251.3.128;201.251.77.255;19,072
200.55.54.152;200.55.127.255;18,792
200.16.120.0;200.16.192.255;18,688
170.51.120.0;170.51.191.255;18,432
190.112.56.0;190.112.127.255;18,432
157.240.63.142;157.240.63.159;18
200.80.235.128;200.81.47.255;17,536
195.22.220.0;195.22.220.16;17
186.64.38.26;186.64.103.255;16,87
66.60.0.0;66.60.63.255;16,384
181.177.0.0;181.177.63.255;16,384
181.197.192.0;181.197.255.255;16,384
186.4.64.0;186.4.127.255;16,384
186.33.0.0;186.33.63.255;16,384
186.33.192.0;186.33.255.255;16,384
186.96.0.0;186.96.63.255;16,384
186.121.128.0;186.121.191.255;16,384
186.177.192.0;186.177.255.255;16,384
186.189.64.0;186.189.127.255;16,384
190.1.0.0;190.1.63.255;16,384
190.2.0.0;190.2.63.255;16,384
190.60.128.0;190.60.191.255;16,384
190.97.0.0;190.97.63.255;16,384
190.103.192.0;190.103.255.255;16,384
190.104.32.0;190.104.95.255;16,384
190.113.128.0;190.113.191.255;16,384
190.181.64.0;190.181.127.255;16,384
200.5.64.0;200.5.127.255;16,384
200.5.192.0;200.5.255.255;16,384
200.73.128.0;200.73.191.255;16,384
200.89.128.0;200.89.191.255;16,384
200.112.128.0;200.112.191.255;16,384
200.115.192.0;200.115.255.255;16,384
200.125.64.0;200.125.127.255;16,384
46.233.68.0;46.233.68.15;16
64.116.225.16;64.116.225.31;16
64.116.230.176;64.116.230.191;16
64.116.232.128;64.116.232.143;16
64.116.232.224;64.116.232.239;16
64.116.233.32;64.116.233.47;16
66.165.169.192;66.165.169.207;16
66.165.173.0;66.165.173.15;16
69.24.250.0;69.24.250.15;16
69.174.45.80;69.174.45.95;16
72.46.255.160;72.46.255.175;16
162.251.216.0;162.251.216.15;16
176.67.81.112;176.67.81.127;16
179.43.116.128;179.43.116.143;16
185.139.167.128;185.139.167.143;16
185.139.167.208;185.139.167.223;16
185.139.174.176;185.139.174.191;16
185.141.91.80;185.141.91.95;16
185.142.80.16;185.142.80.31;16
185.142.80.48;185.142.80.63;16
185.142.80.96;185.142.80.111;16
185.142.82.32;185.142.82.47;16
185.142.231.0;185.142.231.15;16
185.150.114.208;185.150.114.223;16
185.151.16.144;185.151.16.159;16
185.157.89.16;185.157.89.31;16
200.0.197.8;200.0.197.23;16
200.41.90.112;200.41.90.127;16
200.55.3.56;200.55.3.71;16
200.81.117.0;200.81.117.15;16
200.108.120.80;200.108.120.95;16
200.108.125.144;200.108.125.159;16
200.108.125.192;200.108.125.207;16
200.108.127.176;200.108.127.191;16
200.108.127.240;200.108.127.255;16
206.73.49.48;206.73.49.63;16
206.182.131.176;206.182.131.191;16
207.209.88.144;207.209.88.159;16
200.16.194.0;200.16.255.255;15,872
181.111.198.136;181.111.255.255;14,712
170.51.200.0;170.51.255.255;14,336
186.5.176.0;186.5.231.255;14,336
200.68.72.96;200.68.127.255;14,24
190.111.251.224;190.112.47.255;13,344
195.22.220.170;195.22.220.182;13
181.209.15.224;181.209.64.3;12,324
186.148.112.0;186.148.159.255;12,288
190.7.224.0;190.8.15.255;12,288
201.219.64.0;201.219.111.255;12,288
